timestamp,elapsed_s,pwm,current_A,t1_casing_C,t2_magnet_C,force_N,flux_mT,fault
2026-09-15T16:55:31.106,3.875,0,0.000,-273.1,12.6,26.934,0.01,0
2026-09-15T16:55:31.205,3.975,0,0.000,-273.1,12.5,26.934,0.08,0
2026-09-15T16:55:31.305,4.075,0,0.000,-273.1,12.6,26.934,0.01,0
2026-09-15T16:55:31.405,4.175,0,0.000,-90.0,12.8,26.934,0.02,0
2026-09-15T16:55:31.505,4.275,0,0.000,-273.1,13.0,26.934,-0.17,0
2026-09-15T16:55:31.606,4.375,0,0.000,-273.1,13.0,26.934,-0.20,0
2026-09-15T16:55:31.706,4.475,0,0.000,-273.1,12.8,26.934,-0.12,0
2026-09-15T16:55:31.807,4.576,0,0.000,-273.1,13.0,26.934,0.14,0
2026-09-15T16:55:31.906,4.675,0,0.000,-90.0,13.1,26.934,0.05,0
2026-09-15T16:55:32.006,4.775,0,0.000,-273.1,12.9,26.934,-0.12,0
2026-09-15T16:55:32.106,4.875,0,0.000,-273.1,12.9,26.934,-0.15,0
2026-09-15T16:55:32.205,4.975,0,0.000,-273.1,13.1,26.934,-0.10,0
2026-09-15T16:55:32.308,5.077,0,0.000,-273.1,13.0,26.934,-0.01,0
2026-09-15T16:55:32.406,5.176,0,0.000,-273.1,13.0,26.934,-0.10,0
2026-09-15T16:55:32.506,5.276,0,0.000,-273.1,13.0,26.934,0.10,0
2026-09-15T16:55:32.607,5.376,0,-0.000,-273.1,13.2,26.934,-0.05,0
2026-09-15T16:55:32.708,5.478,0,0.000,-273.1,13.0,26.934,0.21,0
2026-09-15T16:55:32.807,5.576,0,0.000,-273.1,13.2,26.934,-0.27,0
2026-09-15T16:55:32.907,5.676,0,0.000,-273.1,13.0,26.934,0.07,0
2026-09-15T16:55:33.007,5.776,0,-0.000,-273.1,13.7,26.934,0.18,0
2026-09-15T16:55:33.107,5.876,0,0.000,-273.1,13.5,26.934,0.03,0
2026-09-15T16:55:33.206,5.976,0,0.000,-273.1,13.4,26.934,0.02,0
2026-09-15T16:55:33.307,6.076,0,0.000,-273.1,13.5,26.934,-0.09,0
2026-09-15T16:55:33.407,6.176,0,0.000,-273.1,13.6,26.934,-0.01,0
2026-09-15T16:55:33.507,6.276,0,0.000,-273.1,13.5,26.934,-0.13,0
2026-09-15T16:55:33.609,6.378,0,0.000,-273.1,13.2,26.934,0.13,0
2026-09-15T16:55:33.709,6.479,0,0.000,-273.1,13.1,26.934,-0.06,0
2026-09-15T16:55:33.810,6.579,0,0.000,-273.1,13.2,26.934,0.01,0
2026-09-15T16:55:33.910,6.679,0,0.000,-273.1,13.0,26.934,-0.02,0
2026-09-15T16:55:34.010,6.780,0,0.000,-273.1,13.0,26.934,-0.13,0
2026-09-15T16:55:34.109,6.879,0,-0.000,-273.1,13.3,26.934,0.07,0
2026-09-15T16:55:34.210,6.979,0,0.000,-273.1,13.2,26.934,-0.18,0
2026-09-15T16:55:34.309,7.079,10,0.003,-273.1,13.6,26.934,0.08,0
2026-09-15T16:55:34.410,7.180,10,0.003,-273.1,13.3,26.934,0.01,0
2026-09-15T16:55:34.510,7.279,10,0.003,-273.1,13.5,26.934,-0.09,0
2026-09-15T16:55:34.609,7.379,20,0.129,-273.1,13.6,26.934,0.54,0
2026-09-15T16:55:34.710,7.479,30,0.376,-83.9,13.6,26.934,0.92,0
2026-09-15T16:55:34.810,7.580,30,0.387,-273.1,13.4,26.934,1.18,0
2026-09-15T16:55:34.910,7.679,40,0.569,-273.1,13.6,26.934,1.73,0
2026-09-15T16:55:35.010,7.780,40,0.563,-273.1,13.2,26.934,2.65,0
2026-09-15T16:55:35.110,7.879,40,0.594,-273.1,13.2,26.934,2.70,0
2026-09-15T16:55:35.209,7.979,50,0.756,-273.1,12.9,26.934,3.27,0
2026-09-15T16:55:35.310,8.079,50,0.744,-273.1,13.0,26.934,3.17,0
2026-09-15T16:55:35.410,8.179,60,0.885,-273.1,13.0,26.934,3.35,0
2026-09-15T16:55:35.510,8.280,60,0.872,-75.2,13.2,26.934,3.88,0
2026-09-15T16:55:35.609,8.378,60,0.849,-273.1,12.9,26.934,4.56,0
2026-09-15T16:55:35.710,8.479,60,0.865,-273.1,13.0,26.934,3.50,0
2026-09-15T16:55:35.810,8.579,60,0.888,-90.0,13.1,26.934,3.26,0
2026-09-15T16:55:35.913,8.682,70,0.995,-273.1,12.6,26.934,4.38,0
2026-09-15T16:55:36.010,8.779,70,0.955,-273.1,12.7,26.934,3.98,0
2026-09-15T16:55:36.109,8.879,70,0.966,-273.1,12.1,26.934,4.38,0
2026-09-15T16:55:36.209,8.979,70,0.957,-273.1,12.6,26.934,4.49,0
2026-09-15T16:55:36.310,9.079,70,0.956,-273.1,12.3,26.934,4.33,0
2026-09-15T16:55:36.409,9.179,70,0.981,-273.1,12.5,26.934,3.52,0
2026-09-15T16:55:36.510,9.280,70,0.982,-273.1,12.1,26.934,4.11,0
2026-09-15T16:55:36.609,9.379,70,0.998,-80.2,11.9,26.934,4.27,0
2026-09-15T16:55:36.710,9.479,70,0.951,-273.1,11.8,26.934,4.68,0
2026-09-15T16:55:36.810,9.579,70,0.960,-273.1,11.9,26.934,4.19,0
2026-09-15T16:55:36.910,9.680,70,0.960,-273.1,11.8,26.934,3.82,0
2026-09-15T16:55:37.011,9.780,70,0.965,-273.1,12.2,26.934,4.36,0
2026-09-15T16:55:37.110,9.879,71,0.958,-273.1,11.8,26.934,3.75,0
2026-09-15T16:55:37.210,9.980,71,0.965,-273.1,11.6,26.934,4.70,0
2026-09-15T16:55:37.310,10.080,71,0.966,-273.1,11.8,26.934,4.00,0
2026-09-15T16:55:37.410,10.180,71,0.980,-71.8,11.6,26.934,4.75,0
2026-09-15T16:55:37.510,10.280,71,0.984,-273.1,10.6,26.934,4.45,0
2026-09-15T16:55:37.613,10.382,71,1.009,-273.1,11.5,26.934,4.51,0
2026-09-15T16:55:37.711,10.481,71,0.990,-273.1,11.9,26.934,4.49,0
2026-09-15T16:55:37.810,10.580,72,0.989,-273.1,11.6,26.934,4.49,0
2026-09-15T16:55:37.911,10.680,72,1.041,-273.1,11.2,26.934,3.44,0
2026-09-15T16:55:38.011,10.781,72,0.992,-273.1,11.5,26.934,4.12,0
2026-09-15T16:55:38.111,10.881,72,1.005,-77.4,11.7,26.934,4.87,0
2026-09-15T16:55:38.211,10.981,72,0.973,-273.1,11.4,26.934,4.39,0
2026-09-15T16:55:38.312,11.081,72,0.998,-273.1,11.4,26.934,4.80,0
2026-09-15T16:55:38.415,11.185,72,0.992,-273.1,11.5,26.934,4.51,0
2026-09-15T16:55:38.514,11.284,72,0.978,-273.1,11.5,26.934,5.00,0
2026-09-15T16:55:38.612,11.382,72,1.039,-273.1,11.4,26.934,4.58,0
2026-09-15T16:55:38.712,11.482,72,1.008,-273.1,11.6,26.934,4.64,0
2026-09-15T16:55:38.812,11.582,72,1.009,-273.1,11.5,26.934,4.79,0
2026-09-15T16:55:38.912,11.682,72,1.021,-273.1,11.6,26.934,4.91,0
2026-09-15T16:55:39.013,11.783,72,0.999,-273.1,11.3,26.934,4.44,0
2026-09-15T16:55:39.113,11.882,72,1.011,-273.1,11.4,26.934,5.14,0
2026-09-15T16:55:39.213,11.982,72,0.989,-273.1,11.1,26.934,4.51,0
2026-09-15T16:55:39.313,12.082,72,1.003,-273.1,11.0,26.934,4.13,0
2026-09-15T16:55:39.413,12.182,72,0.987,-273.1,11.0,26.934,4.38,0
2026-09-15T16:55:39.514,12.284,72,0.977,-71.8,11.4,26.934,4.68,0
2026-09-15T16:55:39.617,12.387,72,0.989,-273.1,11.1,26.934,4.83,0
2026-09-15T16:55:39.717,12.487,72,1.012,-69.2,11.4,26.934,4.26,0
2026-09-15T16:55:39.814,12.584,72,1.000,-273.1,11.2,26.934,4.90,0
2026-09-15T16:55:39.914,12.683,72,1.008,-273.1,11.0,26.934,4.62,0
2026-09-15T16:55:40.014,12.784,72,1.018,-273.1,11.3,26.934,4.51,0
2026-09-15T16:55:40.114,12.883,72,1.018,-273.1,11.1,26.934,4.67,0
2026-09-15T16:55:40.214,12.984,72,1.008,-273.1,10.9,26.934,4.53,0
2026-09-15T16:55:40.314,13.084,72,0.994,-90.0,7.8,26.934,4.37,0
2026-09-15T16:55:40.414,13.184,72,1.030,-273.1,11.4,26.934,4.69,0
2026-09-15T16:55:40.515,13.284,72,0.999,-273.1,11.5,26.934,4.81,0
2026-09-15T16:55:40.615,13.384,72,1.003,-273.1,11.5,26.934,5.31,0
2026-09-15T16:55:40.717,13.487,72,1.005,-273.1,11.3,26.934,5.42,0
2026-09-15T16:55:40.815,13.585,72,0.986,-273.1,10.9,26.934,5.63,0
2026-09-15T16:55:40.916,13.685,72,1.006,-273.1,11.6,26.934,4.47,0
2026-09-15T16:55:41.017,13.787,72,0.995,-273.1,11.2,26.934,4.79,0
2026-09-15T16:55:41.118,13.887,72,0.990,-273.1,11.2,26.934,4.78,0
2026-09-15T16:55:41.218,13.988,72,1.002,-273.1,11.2,26.934,4.65,0
2026-09-15T16:55:41.318,14.088,72,1.010,-273.1,11.5,26.934,3.86,0
2026-09-15T16:55:41.419,14.189,72,1.029,-273.1,11.4,26.934,4.64,0
2026-09-15T16:55:41.519,14.288,72,0.982,-273.1,11.3,26.934,4.72,0
2026-09-15T16:55:41.619,14.389,72,0.998,-273.1,11.3,26.934,5.31,0
2026-09-15T16:55:41.718,14.488,72,1.001,-273.1,11.2,26.934,5.23,0
2026-09-15T16:55:41.822,14.591,72,1.003,-273.1,11.1,26.934,4.89,0
2026-09-15T16:55:41.920,14.689,72,1.017,-273.1,11.2,26.934,5.00,0
2026-09-15T16:55:42.020,14.790,72,1.036,-273.1,11.3,26.934,5.19,0
2026-09-15T16:55:42.121,14.890,72,1.020,-273.1,11.3,26.934,4.55,0
2026-09-15T16:55:42.221,14.990,72,1.016,-273.1,11.5,26.934,4.83,0
2026-09-15T16:55:42.321,15.090,72,0.994,-273.1,11.3,26.934,5.06,0
2026-09-15T16:55:42.421,15.190,72,0.996,-273.1,11.4,26.934,4.79,0
2026-09-15T16:55:42.521,15.290,72,1.031,-273.1,11.2,26.934,4.77,0
2026-09-15T16:55:42.621,15.390,72,1.036,-273.1,11.1,26.934,4.20,0
2026-09-15T16:55:42.721,15.491,72,1.008,-273.1,11.4,26.934,4.98,0
2026-09-15T16:55:42.823,15.592,72,1.000,-273.1,11.1,26.934,4.11,0
2026-09-15T16:55:42.924,15.693,72,1.014,-273.1,11.2,26.934,4.99,0
2026-09-15T16:55:43.023,15.792,72,1.010,-273.1,11.5,26.934,4.48,0
2026-09-15T16:55:43.121,15.891,72,0.978,-80.2,11.3,26.934,4.89,0
2026-09-15T16:55:43.221,15.991,72,1.033,-273.1,11.4,26.934,5.21,0
2026-09-15T16:55:43.321,16.091,72,0.992,-273.1,11.2,26.934,4.15,0
2026-09-15T16:55:43.421,16.191,72,1.011,-273.1,11.5,26.934,5.20,0
2026-09-15T16:55:43.522,16.291,72,1.035,-273.1,11.3,26.934,3.93,0
2026-09-15T16:55:43.621,16.390,72,1.015,-68.1,11.7,26.934,3.92,0
2026-09-15T16:55:43.722,16.492,72,1.017,-273.1,11.6,26.934,4.34,0
2026-09-15T16:55:43.822,16.591,72,1.004,-273.1,11.6,26.934,5.22,0
2026-09-15T16:55:43.921,16.690,72,1.006,-273.1,12.2,26.934,4.27,0
2026-09-15T16:55:44.021,16.790,72,1.002,-273.1,11.8,26.934,4.63,0
2026-09-15T16:55:44.121,16.890,72,1.000,-273.1,11.9,26.934,4.30,0
2026-09-15T16:55:44.221,16.990,72,1.017,-273.1,11.9,26.934,4.90,0
2026-09-15T16:55:44.321,17.090,72,1.001,-273.1,12.0,26.934,4.42,0
2026-09-15T16:55:44.421,17.190,72,1.013,-273.1,11.9,26.934,4.71,0
2026-09-15T16:55:44.521,17.290,72,0.990,-273.1,12.2,26.934,5.21,0
2026-09-15T16:55:44.623,17.392,72,0.998,-273.1,12.5,26.934,5.44,0
2026-09-15T16:55:44.722,17.492,72,1.009,-273.1,12.5,26.934,5.07,0
2026-09-15T16:55:44.824,17.593,72,1.018,-273.1,12.6,26.934,4.96,0
2026-09-15T16:55:44.921,17.691,72,1.037,-83.9,12.3,26.934,4.67,0
2026-09-15T16:55:45.022,17.791,72,1.009,-273.1,12.3,26.934,4.42,0
2026-09-15T16:55:45.122,17.891,72,1.035,-273.1,12.3,26.934,4.19,0
2026-09-15T16:55:45.222,17.991,72,1.004,-63.6,12.4,26.934,4.46,0
2026-09-15T16:55:45.322,18.091,72,0.997,-273.1,12.6,26.934,5.03,0
2026-09-15T16:55:45.422,18.192,72,1.025,-273.1,12.7,26.934,4.47,0
2026-09-15T16:55:45.523,18.292,72,1.021,-273.1,12.9,26.934,4.82,0
2026-09-15T16:55:45.623,18.392,72,1.032,-83.9,12.6,26.934,4.37,0
2026-09-15T16:55:45.724,18.493,72,1.038,-273.1,12.6,26.934,3.66,0
2026-09-15T16:55:45.824,18.593,72,1.008,-273.1,12.7,26.934,4.01,0
2026-09-15T16:55:45.924,18.693,72,0.985,-273.1,12.7,26.934,4.94,0
2026-09-15T16:55:46.024,18.794,72,1.008,-273.1,12.5,26.934,5.47,0
2026-09-15T16:55:46.125,18.894,72,1.025,-273.1,12.5,26.934,4.91,0
